Type,Strike,Bid,Ask,Expiration
call,150.0,192.15,192.4,2021-11-26
call,155.0,187.05,187.25,2021-11-26
call,165.0,176.6,177.6,2021-11-26
call,175.0,166.55,167.6,2021-11-26
call,180.0,161.6,162.6,2021-11-26
call,190.0,151.6,152.6,2021-11-26
call,200.0,141.6,142.65,2021-11-26
call,205.0,136.65,137.6,2021-11-26
call,215.0,121.4,122.55,2021-11-26
call,230.0,112.1,112.65,2021-11-26
call,240.0,102.05,102.7,2021-11-26
call,250.0,92.1,92.55,2021-11-26
call,255.0,87.0,87.4,2021-11-26
call,260.0,81.85,82.95,2021-11-26
call,265.0,76.95,77.9,2021-11-26
call,270.0,71.85,73.05,2021-11-26
call,275.0,66.7,68.0,2021-11-26
call,280.0,61.4,62.75,2021-11-26
call,285.0,57.15,57.5,2021-11-26
call,290.0,52.15,52.7,2021-11-26
call,295.0,46.8,47.7,2021-11-26
call,300.0,41.5,42.55,2021-11-26
call,305.0,37.1,37.75,2021-11-26
call,310.0,31.95,32.7,2021-11-26
call,312.5,29.55,30.75,2021-11-26
call,315.0,27.25,27.65,2021-11-26
call,317.5,24.05,25.15,2021-11-26
call,320.0,22.25,22.7,2021-11-26
call,322.5,19.5,20.25,2021-11-26
call,325.0,17.3,17.65,2021-11-26
call,327.5,14.85,15.35,2021-11-26
call,330.0,12.45,12.95,2021-11-26
call,332.5,9.85,10.6,2021-11-26
call,335.0,7.9,8.25,2021-11-26
call,337.5,5.85,6.1,2021-11-26
call,340.0,4.25,4.3,2021-11-26
call,342.5,2.67,2.75,2021-11-26
call,345.0,1.64,1.7,2021-11-26
call,347.5,0.97,1.03,2021-11-26
call,350.0,0.58,0.6,2021-11-26
call,355.0,0.23,0.26,2021-11-26
call,360.0,0.11,0.13,2021-11-26
call,365.0,0.06,0.07,2021-11-26
call,370.0,0.04,0.05,2021-11-26
call,375.0,0.03,0.04,2021-11-26
call,380.0,0.02,0.03,2021-11-26
call,385.0,0.02,0.03,2021-11-26
call,390.0,0.02,0.03,2021-11-26
call,395.0,0.01,0.03,2021-11-26
call,400.0,0.01,0.03,2021-11-26
call,405.0,0.01,0.03,2021-11-26
call,410.0,0.0,0.03,2021-11-26
call,415.0,0.01,0.02,2021-11-26
call,420.0,0.0,0.02,2021-11-26
call,425.0,0.0,0.01,2021-11-26
call,430.0,0.0,0.02,2021-11-26
call,435.0,0.0,0.01,2021-11-26
call,440.0,0.0,0.03,2021-11-26
call,455.0,0.0,0.04,2021-11-26
call,460.0,0.0,0.04,2021-11-26
call,465.0,0.0,0.04,2021-11-26
call,475.0,0.0,0.01,2021-11-26
puts,150.0,0.0,0.01,2021-11-26
puts,155.0,0.0,0.06,2021-11-26
puts,180.0,0.0,0.05,2021-11-26
puts,190.0,0.0,0.05,2021-11-26
puts,195.0,0.0,0.05,2021-11-26
puts,200.0,0.0,0.01,2021-11-26
puts,205.0,0.0,0.09,2021-11-26
puts,210.0,0.0,0.01,2021-11-26
puts,215.0,0.0,0.05,2021-11-26
puts,220.0,0.0,0.52,2021-11-26
puts,225.0,0.0,0.05,2021-11-26
puts,230.0,0.0,0.01,2021-11-26
puts,235.0,0.0,0.01,2021-11-26
puts,240.0,0.0,0.01,2021-11-26
puts,245.0,0.0,0.01,2021-11-26
puts,250.0,0.0,0.01,2021-11-26
puts,255.0,0.0,0.01,2021-11-26
puts,260.0,0.0,0.01,2021-11-26
puts,265.0,0.0,0.01,2021-11-26
puts,270.0,0.0,0.01,2021-11-26
puts,275.0,0.0,0.02,2021-11-26
puts,280.0,0.0,0.01,2021-11-26
puts,285.0,0.0,0.03,2021-11-26
puts,290.0,0.01,0.03,2021-11-26
puts,295.0,0.01,0.03,2021-11-26
puts,300.0,0.03,0.04,2021-11-26
puts,305.0,0.04,0.05,2021-11-26
puts,310.0,0.06,0.08,2021-11-26
puts,312.5,0.08,0.09,2021-11-26
puts,315.0,0.1,0.11,2021-11-26
puts,317.5,0.12,0.13,2021-11-26
puts,320.0,0.15,0.16,2021-11-26
puts,322.5,0.18,0.2,2021-11-26
puts,325.0,0.22,0.24,2021-11-26
puts,327.5,0.28,0.3,2021-11-26
puts,330.0,0.39,0.4,2021-11-26
puts,332.5,0.54,0.56,2021-11-26
puts,335.0,0.76,0.82,2021-11-26
puts,337.5,1.2,1.25,2021-11-26
puts,340.0,1.88,1.97,2021-11-26
puts,342.5,2.94,2.98,2021-11-26
puts,345.0,4.45,4.55,2021-11-26
puts,347.5,6.15,6.3,2021-11-26
puts,350.0,8.05,9.45,2021-11-26
puts,355.0,12.85,13.15,2021-11-26
puts,360.0,17.5,18.45,2021-11-26
puts,365.0,22.45,23.3,2021-11-26
puts,370.0,27.05,28.05,2021-11-26
puts,375.0,32.3,33.1,2021-11-26
puts,380.0,37.45,38.3,2021-11-26
puts,385.0,42.15,43.65,2021-11-26
puts,390.0,47.25,48.35,2021-11-26
puts,395.0,52.55,53.0,2021-11-26
puts,400.0,57.2,58.15,2021-11-26
puts,405.0,62.3,63.05,2021-11-26
puts,410.0,67.1,68.15,2021-11-26
puts,415.0,72.25,73.55,2021-11-26
puts,420.0,77.65,78.2,2021-11-26
puts,430.0,87.3,87.9,2021-11-26
puts,435.0,92.0,93.2,2021-11-26
puts,445.0,102.6,103.55,2021-11-26
puts,450.0,107.25,108.1,2021-11-26
puts,455.0,112.35,113.3,2021-11-26
puts,460.0,117.15,118.15,2021-11-26
puts,465.0,122.6,122.9,2021-11-26
puts,470.0,127.45,127.7,2021-11-26
puts,475.0,132.6,132.75,2021-11-26
call,225.0,116.55,118.1,2021-12-03
call,230.0,111.95,112.65,2021-12-03
call,235.0,106.6,108.15,2021-12-03
call,240.0,101.6,103.1,2021-12-03
call,245.0,96.65,97.55,2021-12-03
call,250.0,92.0,93.05,2021-12-03
call,255.0,86.9,87.75,2021-12-03
call,260.0,82.0,82.5,2021-12-03
call,265.0,75.5,78.55,2021-12-03
call,270.0,70.55,73.55,2021-12-03
call,275.0,65.5,68.75,2021-12-03
call,280.0,60.55,62.6,2021-12-03
call,285.0,56.15,58.15,2021-12-03
call,290.0,52.0,52.7,2021-12-03
call,295.0,47.2,47.75,2021-12-03
call,300.0,42.2,42.9,2021-12-03
call,305.0,37.05,38.35,2021-12-03
call,310.0,32.4,33.15,2021-12-03
call,312.5,30.1,30.75,2021-12-03
call,315.0,27.6,28.0,2021-12-03
call,317.5,25.2,25.65,2021-12-03
call,320.0,22.8,23.25,2021-12-03
call,322.5,20.4,20.75,2021-12-03
call,325.0,18.05,18.35,2021-12-03
call,327.5,15.85,16.2,2021-12-03
call,330.0,13.55,14.0,2021-12-03
call,332.5,11.55,11.85,2021-12-03
call,335.0,9.4,9.55,2021-12-03
call,337.5,7.7,7.9,2021-12-03
call,340.0,6.05,6.2,2021-12-03
call,342.5,4.55,4.7,2021-12-03
call,345.0,3.4,3.55,2021-12-03
call,347.5,2.51,2.59,2021-12-03
call,350.0,1.81,1.91,2021-12-03
call,355.0,0.97,1.05,2021-12-03
call,360.0,0.55,0.59,2021-12-03
call,365.0,0.32,0.34,2021-12-03
call,370.0,0.21,0.23,2021-12-03
call,375.0,0.15,0.16,2021-12-03
call,380.0,0.11,0.12,2021-12-03
call,385.0,0.08,0.1,2021-12-03
call,390.0,0.06,0.07,2021-12-03
call,395.0,0.05,0.06,2021-12-03
call,400.0,0.04,0.05,2021-12-03
call,405.0,0.03,0.04,2021-12-03
call,410.0,0.02,0.03,2021-12-03
call,415.0,0.02,0.03,2021-12-03
call,420.0,0.01,0.03,2021-12-03
call,425.0,0.0,0.03,2021-12-03
call,430.0,0.0,0.03,2021-12-03
call,435.0,0.0,0.03,2021-12-03
call,440.0,0.0,0.03,2021-12-03
call,445.0,0.0,0.03,2021-12-03
call,450.0,0.0,0.03,2021-12-03
call,455.0,0.0,0.03,2021-12-03
call,460.0,0.0,0.03,2021-12-03
call,475.0,0.0,0.02,2021-12-03
puts,225.0,0.0,0.01,2021-12-03
puts,230.0,0.0,0.06,2021-12-03
puts,235.0,0.0,0.01,2021-12-03
puts,240.0,0.0,0.04,2021-12-03
puts,245.0,0.0,0.03,2021-12-03
puts,250.0,0.0,0.01,2021-12-03
puts,255.0,0.0,0.02,2021-12-03
puts,260.0,0.0,0.03,2021-12-03
puts,265.0,0.01,0.03,2021-12-03
puts,270.0,0.02,0.03,2021-12-03
puts,275.0,0.03,0.04,2021-12-03
puts,280.0,0.05,0.06,2021-12-03
puts,285.0,0.07,0.08,2021-12-03
puts,290.0,0.09,0.11,2021-12-03
puts,295.0,0.13,0.14,2021-12-03
puts,300.0,0.18,0.2,2021-12-03
puts,305.0,0.24,0.26,2021-12-03
puts,310.0,0.32,0.34,2021-12-03
puts,312.5,0.37,0.4,2021-12-03
puts,315.0,0.44,0.47,2021-12-03
puts,317.5,0.51,0.55,2021-12-03
puts,320.0,0.61,0.65,2021-12-03
puts,322.5,0.71,0.78,2021-12-03
puts,325.0,0.86,0.93,2021-12-03
puts,327.5,1.07,1.13,2021-12-03
puts,330.0,1.34,1.41,2021-12-03
puts,332.5,1.73,1.78,2021-12-03
puts,335.0,2.17,2.29,2021-12-03
puts,337.5,2.78,2.93,2021-12-03
puts,340.0,3.7,3.85,2021-12-03
puts,342.5,4.75,4.95,2021-12-03
puts,345.0,6.15,6.3,2021-12-03
puts,347.5,7.65,7.75,2021-12-03
puts,350.0,9.6,9.75,2021-12-03
puts,355.0,13.4,14.0,2021-12-03
puts,360.0,17.95,18.4,2021-12-03
puts,365.0,22.7,23.1,2021-12-03
puts,370.0,27.65,28.1,2021-12-03
puts,375.0,32.55,33.05,2021-12-03
puts,380.0,37.4,38.15,2021-12-03
puts,385.0,42.5,43.3,2021-12-03
puts,390.0,47.5,48.05,2021-12-03
puts,410.0,67.1,68.55,2021-12-03
puts,435.0,92.0,94.7,2021-12-03
puts,450.0,106.95,108.75,2021-12-03
puts,465.0,121.95,123.95,2021-12-03
puts,475.0,132.2,133.85,2021-12-03
call,250.0,91.15,93.3,2021-12-10
call,255.0,86.5,88.15,2021-12-10
call,260.0,81.45,83.4,2021-12-10
call,265.0,76.5,78.4,2021-12-10
call,270.0,70.55,74.2,2021-12-10
call,275.0,65.7,67.75,2021-12-10
call,280.0,62.0,62.65,2021-12-10
call,285.0,56.65,58.3,2021-12-10
call,290.0,52.4,52.9,2021-12-10
call,295.0,46.4,49.45,2021-12-10
call,300.0,42.5,43.75,2021-12-10
call,305.0,37.65,38.6,2021-12-10
call,310.0,32.75,34.05,2021-12-10
call,315.0,27.35,28.5,2021-12-10
call,320.0,23.2,23.95,2021-12-10
call,325.0,18.7,19.2,2021-12-10
call,330.0,14.5,14.95,2021-12-10
call,335.0,10.75,10.95,2021-12-10
call,340.0,7.35,7.55,2021-12-10
call,345.0,4.75,4.85,2021-12-10
call,350.0,2.92,3.05,2021-12-10
call,355.0,1.76,1.85,2021-12-10
call,360.0,1.08,1.16,2021-12-10
call,365.0,0.68,0.75,2021-12-10
call,370.0,0.45,0.51,2021-12-10
call,375.0,0.33,0.37,2021-12-10
call,380.0,0.27,0.3,2021-12-10
call,385.0,0.22,0.24,2021-12-10
call,390.0,0.18,0.2,2021-12-10
call,395.0,0.15,0.16,2021-12-10
call,400.0,0.12,0.13,2021-12-10
call,405.0,0.1,0.11,2021-12-10
call,410.0,0.08,0.09,2021-12-10
call,415.0,0.07,0.08,2021-12-10
call,420.0,0.05,0.07,2021-12-10
call,425.0,0.04,0.06,2021-12-10
call,430.0,0.03,0.04,2021-12-10
call,440.0,0.02,0.03,2021-12-10
call,450.0,0.0,0.03,2021-12-10
call,460.0,0.0,0.05,2021-12-10
call,470.0,0.0,0.03,2021-12-10
puts,230.0,0.0,0.05,2021-12-10
puts,235.0,0.02,0.07,2021-12-10
puts,240.0,0.02,0.03,2021-12-10
puts,245.0,0.03,0.05,2021-12-10
puts,250.0,0.04,0.05,2021-12-10
puts,255.0,0.05,0.06,2021-12-10
puts,260.0,0.07,0.08,2021-12-10
puts,265.0,0.09,0.1,2021-12-10
puts,270.0,0.11,0.12,2021-12-10
puts,275.0,0.14,0.15,2021-12-10
puts,280.0,0.17,0.19,2021-12-10
puts,285.0,0.22,0.24,2021-12-10
puts,290.0,0.26,0.28,2021-12-10
puts,295.0,0.32,0.36,2021-12-10
puts,300.0,0.4,0.44,2021-12-10
puts,305.0,0.5,0.56,2021-12-10
puts,310.0,0.64,0.7,2021-12-10
puts,315.0,0.83,0.91,2021-12-10
puts,320.0,1.14,1.21,2021-12-10
puts,325.0,1.6,1.69,2021-12-10
puts,330.0,2.31,2.37,2021-12-10
puts,335.0,3.4,3.55,2021-12-10
puts,340.0,4.95,5.15,2021-12-10
puts,345.0,7.5,7.65,2021-12-10
puts,350.0,10.65,10.75,2021-12-10
puts,355.0,14.2,14.65,2021-12-10
puts,360.0,18.55,19.5,2021-12-10
puts,370.0,27.9,28.9,2021-12-10
call,145.0,196.55,198.05,2021-12-17
call,150.0,191.45,193.25,2021-12-17
call,155.0,185.95,189.25,2021-12-17
call,160.0,180.95,184.3,2021-12-17
call,165.0,176.5,178.25,2021-12-17
call,170.0,171.7,173.15,2021-12-17
call,175.0,166.45,168.25,2021-12-17
call,180.0,161.6,163.3,2021-12-17
call,185.0,156.75,158.1,2021-12-17
call,190.0,151.7,153.3,2021-12-17
call,195.0,146.55,149.0,2021-12-17
call,200.0,141.15,143.25,2021-12-17
call,205.0,136.45,138.2,2021-12-17
call,210.0,131.45,133.3,2021-12-17
call,215.0,125.45,129.05,2021-12-17
call,220.0,120.4,124.15,2021-12-17
call,225.0,115.45,119.0,2021-12-17
call,230.0,111.2,113.35,2021-12-17
call,235.0,106.5,108.35,2021-12-17
call,240.0,101.55,103.25,2021-12-17
call,245.0,95.5,99.4,2021-12-17
call,250.0,91.55,93.35,2021-12-17
call,255.0,86.3,88.4,2021-12-17
call,260.0,81.65,83.0,2021-12-17
call,265.0,76.9,78.35,2021-12-17
call,270.0,72.05,74.25,2021-12-17
call,275.0,66.0,69.6,2021-12-17
call,280.0,62.1,64.45,2021-12-17
call,285.0,56.9,58.55,2021-12-17
call,290.0,52.7,53.5,2021-12-17
call,295.0,47.7,48.2,2021-12-17
call,300.0,42.85,43.45,2021-12-17
call,305.0,38.1,38.4,2021-12-17
call,310.0,33.35,33.9,2021-12-17
call,315.0,28.7,29.1,2021-12-17
call,320.0,24.05,24.4,2021-12-17
call,325.0,19.75,20.05,2021-12-17
call,330.0,15.6,16.0,2021-12-17
call,335.0,12.0,12.25,2021-12-17
call,340.0,8.65,8.8,2021-12-17
call,345.0,6.1,6.25,2021-12-17
call,350.0,4.05,4.15,2021-12-17
call,355.0,2.65,2.76,2021-12-17
call,360.0,1.72,1.79,2021-12-17
call,365.0,1.15,1.21,2021-12-17
call,370.0,0.78,0.83,2021-12-17
call,375.0,0.54,0.6,2021-12-17
call,380.0,0.39,0.45,2021-12-17
call,385.0,0.31,0.36,2021-12-17
call,390.0,0.26,0.28,2021-12-17
call,395.0,0.21,0.23,2021-12-17
call,400.0,0.18,0.19,2021-12-17
call,405.0,0.15,0.16,2021-12-17
call,410.0,0.13,0.14,2021-12-17
call,415.0,0.11,0.12,2021-12-17
call,420.0,0.09,0.1,2021-12-17
call,425.0,0.08,0.09,2021-12-17
call,430.0,0.07,0.08,2021-12-17
call,435.0,0.06,0.07,2021-12-17
call,440.0,0.05,0.06,2021-12-17
call,445.0,0.04,0.05,2021-12-17
call,450.0,0.03,0.04,2021-12-17
call,455.0,0.03,0.04,2021-12-17
call,460.0,0.02,0.03,2021-12-17
call,465.0,0.02,0.03,2021-12-17
call,470.0,0.02,0.03,2021-12-17
call,475.0,0.01,0.03,2021-12-17
puts,145.0,0.0,0.02,2021-12-17
puts,150.0,0.0,0.01,2021-12-17
puts,155.0,0.0,0.06,2021-12-17
puts,160.0,0.0,0.07,2021-12-17
puts,165.0,0.0,0.07,2021-12-17
puts,170.0,0.0,0.03,2021-12-17
puts,175.0,0.0,0.03,2021-12-17
puts,180.0,0.0,0.03,2021-12-17
puts,185.0,0.0,0.03,2021-12-17
puts,190.0,0.0,0.03,2021-12-17
puts,195.0,0.01,0.04,2021-12-17
puts,200.0,0.02,0.03,2021-12-17
puts,205.0,0.02,0.03,2021-12-17
puts,210.0,0.02,0.04,2021-12-17
puts,215.0,0.03,0.04,2021-12-17
puts,220.0,0.04,0.05,2021-12-17
puts,225.0,0.04,0.05,2021-12-17
puts,230.0,0.06,0.07,2021-12-17
puts,235.0,0.07,0.08,2021-12-17
puts,240.0,0.08,0.09,2021-12-17
puts,245.0,0.1,0.11,2021-12-17
puts,250.0,0.12,0.13,2021-12-17
puts,255.0,0.14,0.15,2021-12-17
puts,260.0,0.17,0.18,2021-12-17
puts,265.0,0.2,0.22,2021-12-17
puts,270.0,0.24,0.25,2021-12-17
puts,275.0,0.28,0.29,2021-12-17
puts,280.0,0.33,0.35,2021-12-17
puts,285.0,0.39,0.43,2021-12-17
puts,290.0,0.47,0.51,2021-12-17
puts,295.0,0.56,0.6,2021-12-17
puts,300.0,0.7,0.76,2021-12-17
puts,305.0,0.85,0.91,2021-12-17
puts,310.0,1.07,1.15,2021-12-17
puts,315.0,1.39,1.44,2021-12-17
puts,320.0,1.79,1.88,2021-12-17
puts,325.0,2.42,2.52,2021-12-17
puts,330.0,3.25,3.4,2021-12-17
puts,335.0,4.6,4.7,2021-12-17
puts,340.0,6.4,6.45,2021-12-17
puts,345.0,8.75,8.9,2021-12-17
puts,350.0,11.75,11.85,2021-12-17
puts,355.0,15.25,15.4,2021-12-17
puts,360.0,19.05,19.5,2021-12-17
puts,365.0,23.5,24.05,2021-12-17
puts,370.0,28.15,29.0,2021-12-17
puts,375.0,32.9,34.05,2021-12-17
puts,380.0,37.75,38.9,2021-12-17
puts,385.0,42.25,43.25,2021-12-17
puts,390.0,47.65,48.6,2021-12-17
puts,395.0,52.7,53.5,2021-12-17
puts,400.0,57.6,58.1,2021-12-17
puts,405.0,62.5,64.0,2021-12-17
puts,410.0,67.5,68.0,2021-12-17
puts,415.0,72.6,73.45,2021-12-17
puts,420.0,77.1,79.55,2021-12-17
puts,430.0,87.3,89.6,2021-12-17
puts,445.0,102.35,103.95,2021-12-17
puts,465.0,122.55,124.5,2021-12-17
puts,470.0,127.25,129.6,2021-12-17
call,210.0,130.4,134.15,2021-12-23
call,220.0,120.45,124.45,2021-12-23
call,250.0,91.65,93.4,2021-12-23
call,275.0,65.9,68.75,2021-12-23
call,280.0,61.0,64.8,2021-12-23
call,290.0,52.35,55.15,2021-12-23
call,295.0,47.5,50.2,2021-12-23
call,300.0,43.1,45.4,2021-12-23
call,305.0,38.45,40.55,2021-12-23
call,310.0,33.0,34.6,2021-12-23
call,315.0,29.1,30.25,2021-12-23
call,320.0,23.95,26.05,2021-12-23
call,325.0,19.95,21.25,2021-12-23
call,330.0,16.5,16.8,2021-12-23
call,335.0,12.9,13.05,2021-12-23
call,340.0,9.65,10.05,2021-12-23
call,345.0,6.95,7.2,2021-12-23
call,350.0,4.95,5.15,2021-12-23
call,355.0,3.4,3.6,2021-12-23
call,360.0,2.34,2.46,2021-12-23
call,365.0,1.6,1.7,2021-12-23
call,370.0,1.11,1.21,2021-12-23
call,375.0,0.79,0.88,2021-12-23
call,380.0,0.59,0.66,2021-12-23
call,385.0,0.45,0.52,2021-12-23
call,390.0,0.36,0.42,2021-12-23
call,395.0,0.29,0.36,2021-12-23
call,400.0,0.26,0.31,2021-12-23
call,405.0,0.21,0.27,2021-12-23
call,410.0,0.18,0.23,2021-12-23
call,415.0,0.16,0.21,2021-12-23
call,420.0,0.15,0.18,2021-12-23
call,425.0,0.09,0.17,2021-12-23
call,430.0,0.07,0.15,2021-12-23
call,440.0,0.04,0.13,2021-12-23
call,450.0,0.03,0.11,2021-12-23
call,470.0,0.05,0.09,2021-12-23
puts,210.0,0.01,0.09,2021-12-23
puts,240.0,0.1,0.18,2021-12-23
puts,245.0,0.12,0.2,2021-12-23
puts,250.0,0.15,0.23,2021-12-23
puts,255.0,0.19,0.27,2021-12-23
puts,260.0,0.22,0.3,2021-12-23
puts,265.0,0.26,0.34,2021-12-23
puts,275.0,0.37,0.45,2021-12-23
puts,280.0,0.44,0.53,2021-12-23
puts,285.0,0.53,0.58,2021-12-23
puts,290.0,0.63,0.71,2021-12-23
puts,295.0,0.75,0.84,2021-12-23
puts,300.0,0.92,1.01,2021-12-23
puts,305.0,1.14,1.23,2021-12-23
puts,310.0,1.42,1.52,2021-12-23
puts,315.0,1.79,1.91,2021-12-23
puts,320.0,2.33,2.45,2021-12-23
puts,325.0,3.05,3.2,2021-12-23
puts,330.0,4.0,4.2,2021-12-23
puts,335.0,5.4,5.6,2021-12-23
puts,340.0,7.15,7.4,2021-12-23
puts,345.0,9.6,9.9,2021-12-23
puts,350.0,12.6,12.75,2021-12-23
puts,355.0,16.0,16.35,2021-12-23
puts,360.0,19.45,21.9,2021-12-23
puts,365.0,23.95,25.25,2021-12-23
puts,370.0,28.45,30.7,2021-12-23
call,235.0,105.65,109.55,2021-12-31
call,240.0,101.05,104.7,2021-12-31
call,250.0,90.8,94.35,2021-12-31
call,260.0,80.85,84.85,2021-12-31
call,265.0,76.3,79.6,2021-12-31
call,270.0,71.3,74.6,2021-12-31
call,275.0,66.1,70.15,2021-12-31
call,280.0,62.2,65.05,2021-12-31
call,300.0,43.3,45.8,2021-12-31
